National_BMI_1985,Rural_BMI_1985,Urban_BMI_1985,National_BMI_2017,Rural_BMI_2017,Urban_BMI_2017,Country,Sex
26.7,26.4,27.5,28.9,28.6,29.6,Swaziland,Women
24.2,24.8,24.1,26.3,26.8,26.3,Sweden,Men
23.8,24.7,23.7,24.9,25.4,24.8,Sweden,Women
24.8,25.1,24.6,26.5,26.7,26.4,Switzerland,Men
23.4,23.8,23.2,23.9,24.1,23.8,Switzerland,Women
24.6,24.2,25,27.4,27,27.7,Syrian Arab Republic,Men
26.1,25.3,27,29.4,29,29.7,Syrian Arab Republic,Women
22.5,22.3,22.7,24.8,24.7,24.8,Taiwan,Men
22.5,22.4,22.5,23.3,23.7,23.2,Taiwan,Women
23.5,23.2,24,26,25.9,26.3,Tajikistan,Men
22.6,22.1,23.5,26.4,26.3,26.7,Tajikistan,Women
20.5,20.2,21.9,22.5,21.9,23.7,Tanzania,Men
20.7,20.5,22.1,24.1,23.1,26.3,Tanzania,Women
21,20.7,21.7,23.9,23.3,24.5,Thailand,Men
22,21.7,22.8,25,24.6,25.3,Thailand,Women
18.8,18.7,19.3,21,20.8,21.5,Timor-Leste,Men
18.5,18.2,19.7,21.2,20.9,21.9,Timor-Leste,Women
20.6,20.3,21.6,22.5,22.1,23.2,Togo,Men
20.9,20.3,22.7,24.2,22.7,26.3,Togo,Women
29.6,29.6,NA,32.3,32.3,NA,Tokelau,Men
31.7,31.7,NA,33.4,33.4,NA,Tokelau,Women
28.8,28.4,30.3,30.9,30.8,31.1,Tonga,Men
32,31.7,32.8,33.6,33.3,34.3,Tonga,Women
24.3,24.2,25.3,26.9,26.8,27.6,Trinidad and Tobago,Men
25.4,25.2,26.9,28.7,28.6,29.3,Trinidad and Tobago,Women
22.4,21.9,22.9,25.5,24.8,25.9,Tunisia,Men
24.6,23.4,25.7,27.6,26.8,28.1,Tunisia,Women
24.1,24,24.1,27,26.8,27.1,Turkey,Men
26.2,25.7,26.7,28.8,28.8,28.8,Turkey,Women
24,23.6,24.4,26.5,26.3,26.7,Turkmenistan,Men
23,22.6,23.6,26.6,26.6,26.6,Turkmenistan,Women
28.3,27.6,29.5,30.3,30.2,30.4,Tuvalu,Men
29.5,29.2,30.2,31.2,30.7,31.6,Tuvalu,Women
19.5,19.4,20.6,21.5,21.3,22.7,Uganda,Men
20.7,20.5,22.6,23.3,22.8,25.7,Uganda,Women
25,25.1,25,26.8,26.6,26.9,Ukraine,Men
25.8,26.2,25.6,26.1,26.6,25.9,Ukraine,Women
25.1,24.4,25.3,28.1,27.3,28.2,United Arab Emirates,Men
26.5,24.7,27,29.5,28.2,29.7,United Arab Emirates,Women
24.7,24.9,24.7,27.3,27.4,27.3,United Kingdom,Men
24.3,24.4,24.3,26.8,26.6,26.9,United Kingdom,Women
25.8,26.1,25.7,28.9,29.2,28.8,United States of America,Men
25.7,26,25.6,29.1,29.5,29,United States of America,Women
24.4,23.4,24.5,27.2,26.3,27.3,Uruguay,Men
24.6,23.5,24.7,27.4,27.1,27.4,Uruguay,Women
23.6,23.4,23.8,26.3,26.3,26.3,Uzbekistan,Men
23.1,22.8,23.6,27.5,27.6,27.3,Uzbekistan,Women
23.9,23.6,25.3,25.9,25.8,26,Vanuatu,Men
24.4,24.2,25.4,26.8,26.5,27.6,Vanuatu,Women
24.7,23.7,24.9,26.8,25.7,26.9,Venezuela,Men
24,22.6,24.3,26.9,26.1,27,Venezuela,Women
19,18.8,19.8,21.8,21.4,22.4,Viet Nam,Men
18.5,18.2,19.8,21.8,21.4,22.5,Viet Nam,Women
21.3,21.2,22,24,23.6,24.5,Yemen,Men
20.5,20,22.5,24.3,23.7,25.5,Yemen,Women
20,19.6,20.7,22.2,21.7,23,Zambia,Men
21.4,20.7,22.5,23.9,22.7,25.5,Zambia,Women
21.2,20.9,22.1,22.3,21.9,23.3,Zimbabwe,Men
24.6,24,26.5,25.3,24.5,27.1,Zimbabwe,Women
